home,Team,Team_opp,fg_max,fga_max,3p_max,3pa_max,ft_max,fta_max,fg_max_opp,fga_max_opp,3p_max_opp,3pa_max_opp,ft_max_opp,fta_max_opp,win_rate_5,season_win_rate,opp_win_rate_5,opp_season_win_rate,days_rest,opp_days_rest,won,season
1,0,1,8.0,18.0,6.0,9.0,4.0,5.0,10.0,23.0,4.0,9.0,6.0,8.0,0.5,0.5,0.5,0.5,3.0,3.0,False,2018
0,1,0,10.0,23.0,4.0,9.0,6.0,8.0,8.0,18.0,6.0,9.0,4.0,5.0,0.5,0.5,0.5,0.0,3.0,3.0,True,2018
0,2,3,11.0,23.0,4.0,9.0,5.0,7.0,12.0,19.0,1.0,5.0,6.0,7.0,0.5,0.5,0.5,0.5,3.0,3.0,False,2018
1,3,2,12.0,19.0,1.0,5.0,6.0,7.0,11.0,23.0,4.0,9.0,5.0,7.0,0.5,0.5,0.5,0.0,3.0,3.0,True,2018
0,4,2,13.0,22.0,3.0,5.0,11.0,13.0,7.0,25.0,3.0,7.0,4.0,6.0,0.5,0.5,0.5,0.0,3.0,1.0,True,2018
0,1,15,10.0,23.0,4.0,14.0,7.0,8.0,10.0,17.0,3.0,7.0,3.0,4.0,0.5,1.0,0.5,0.5,1.0,3.0,True,2018
1,5,23,9.0,21.0,3.0,7.0,6.0,7.0,9.0,15.0,4.0,6.0,4.0,9.0,0.5,0.5,0.5,0.5,3.0,3.0,True,2018
1,2,4,7.0,25.0,3.0,7.0,4.0,6.0,13.0,22.0,3.0,5.0,11.0,13.0,0.5,0.0,0.5,1.0,1.0,3.0,False,2018
0,6,22,12.0,22.0,4.0,8.0,8.0,8.0,9.0,19.0,2.0,9.0,8.0,10.0,0.5,0.5,0.5,0.5,3.0,3.0,False,2018
1,7,17,6.0,18.0,2.0,6.0,4.0,4.0,10.0,20.0,4.0,7.0,7.0,10.0,0.5,0.5,0.5,0.5,3.0,3.0,False,2018
0,8,16,9.0,23.0,3.0,9.0,14.0,17.0,9.0,18.0,4.0,9.0,5.0,7.0,0.5,0.5,0.5,0.5,3.0,3.0,False,2018
0,9,13,13.0,26.0,4.0,6.0,3.0,4.0,6.0,14.0,5.0,9.0,8.0,9.0,0.5,0.5,0.5,0.5,3.0,3.0,True,2018
1,10,12,9.0,17.0,3.0,7.0,7.0,8.0,11.0,19.0,2.0,7.0,4.0,4.0,0.5,0.5,0.5,0.5,3.0,3.0,True,2018
1,11,20,7.0,14.0,3.0,5.0,4.0,4.0,8.0,15.0,3.0,5.0,4.0,5.0,0.5,0.5,0.5,0.5,3.0,3.0,True,2018
0,12,10,11.0,19.0,2.0,7.0,4.0,4.0,9.0,17.0,3.0,7.0,7.0,8.0,0.5,0.5,0.5,1.0,3.0,3.0,False,2018
1,13,9,6.0,14.0,5.0,9.0,8.0,9.0,13.0,26.0,4.0,6.0,3.0,4.0,0.5,0.5,0.5,1.0,3.0,3.0,False,2018
1,14,18,10.0,28.0,3.0,6.0,12.0,16.0,9.0,15.0,7.0,11.0,4.0,6.0,0.5,0.5,0.5,0.5,3.0,3.0,True,2018
1,15,1,10.0,17.0,3.0,7.0,3.0,4.0,10.0,23.0,4.0,14.0,7.0,8.0,0.5,0.5,0.5,1.0,3.0,1.0,False,2018
1,16,8,9.0,18.0,4.0,9.0,5.0,7.0,9.0,23.0,3.0,9.0,14.0,17.0,0.5,0.5,0.5,0.0,3.0,3.0,True,2018
0,17,7,10.0,20.0,4.0,7.0,7.0,10.0,6.0,18.0,2.0,6.0,4.0,4.0,0.5,0.5,0.5,0.0,3.0,3.0,True,2018
0,18,14,9.0,15.0,7.0,11.0,4.0,6.0,10.0,28.0,3.0,6.0,12.0,16.0,0.5,0.5,0.5,1.0,3.0,3.0,False,2018
1,19,21,11.0,18.0,4.0,7.0,3.0,3.0,6.0,13.0,2.0,6.0,11.0,13.0,0.5,0.5,0.5,0.5,3.0,3.0,True,2018
0,20,11,8.0,15.0,3.0,5.0,4.0,5.0,7.0,14.0,3.0,5.0,4.0,4.0,0.5,0.5,0.5,1.0,3.0,3.0,False,2018
0,21,19,6.0,13.0,2.0,6.0,11.0,13.0,11.0,18.0,4.0,7.0,3.0,3.0,0.5,0.5,0.5,1.0,3.0,3.0,False,2018
1,22,6,9.0,19.0,2.0,9.0,8.0,10.0,12.0,22.0,4.0,8.0,8.0,8.0,0.5,0.5,0.5,0.0,3.0,3.0,True,2018
0,23,5,9.0,15.0,4.0,6.0,4.0,9.0,9.0,21.0,3.0,7.0,6.0,7.0,0.5,0.5,0.5,1.0,3.0,3.0,False,2018
